Expanded Count: 960
Right Bank:  chickens: 39, wolves: 38, boat: 0
Left Bank:  chickens: 59, wolves: 58, boat: 0
Right Bank:  chickens: 40, wolves: 38, boat: 1
Left Bank:  chickens: 61, wolves: 58, boat: 1
Right Bank:  chickens: 38, wolves: 38, boat: 0
Left Bank:  chickens: 60, wolves: 58, boat: 0
Right Bank:  chickens: 39, wolves: 38, boat: 1
Left Bank:  chickens: 61, wolves: 59, boat: 1
Right Bank:  chickens: 38, wolves: 37, boat: 0
Left Bank:  chickens: 60, wolves: 59, boat: 0
Right Bank:  chickens: 39, wolves: 37, boat: 1
Left Bank:  chickens: 62, wolves: 59, boat: 1
Right Bank:  chickens: 37, wolves: 37, boat: 0
Left Bank:  chickens: 61, wolves: 59, boat: 0
Right Bank:  chickens: 38, wolves: 37, boat: 1
Left Bank:  chickens: 62, wolves: 60, boat: 1
Right Bank:  chickens: 37, wolves: 36, boat: 0
Left Bank:  chickens: 61, wolves: 60, boat: 0
Right Bank:  chickens: 38, wolves: 36, boat: 1
Left Bank:  chickens: 63, wolves: 60, boat: 1
Right Bank:  chickens: 36, wolves: 36, boat: 0
Left Bank:  chickens: 62, wolves: 60, boat: 0
Right Bank:  chickens: 37, wolves: 36, boat: 1
Left Bank:  chickens: 63, wolves: 61, boat: 1
Right Bank:  chickens: 36, wolves: 35, boat: 0
Left Bank:  chickens: 62, wolves: 61, boat: 0
Right Bank:  chickens: 37, wolves: 35, boat: 1
Left Bank:  chickens: 64, wolves: 61, boat: 1
Right Bank:  chickens: 35, wolves: 35, boat: 0
Left Bank:  chickens: 63, wolves: 61, boat: 0
Right Bank:  chickens: 36, wolves: 35, boat: 1
Left Bank:  chickens: 64, wolves: 62, boat: 1
Right Bank:  chickens: 35, wolves: 34, boat: 0
Left Bank:  chickens: 63, wolves: 62, boat: 0
Right Bank:  chickens: 36, wolves: 34, boat: 1
Left Bank:  chickens: 65, wolves: 62, boat: 1
Right Bank:  chickens: 34, wolves: 34, boat: 0
Left Bank:  chickens: 64, wolves: 62, boat: 0
Right Bank:  chickens: 35, wolves: 34, boat: 1
Left Bank:  chickens: 65, wolves: 63, boat: 1
Right Bank:  chickens: 34, wolves: 33, boat: 0
Left Bank:  chickens: 64, wolves: 63, boat: 0
Right Bank:  chickens: 35, wolves: 33, boat: 1
Left Bank:  chickens: 66, wolves: 63, boat: 1
Right Bank:  chickens: 33, wolves: 33, boat: 0
Left Bank:  chickens: 65, wolves: 63, boat: 0
Right Bank:  chickens: 34, wolves: 33, boat: 1
Left Bank:  chickens: 66, wolves: 64, boat: 1
Right Bank:  chickens: 33, wolves: 32, boat: 0
